human_gene_symbols,dmel_gene_id,dmel_gene_symbol,cell_type_id,cell_type_name,max_spread,max_mean_expression,supporting_rows,within_gene_rank
GNAI2 | GNAT1,FBgn0001104,Galphai,FBbt:00058143,adult hemocyte,0.427586,865.242503,7,4
GNAI2 | GNAT1,FBgn0001104,Galphai,FBbt:00100497,adult glial cell,0.409091,1361.387833,24,5
KAT2B,FBgn0020388,Gcn5,FBbt:00111316,adult CCAP neuron,0.375,228.769002,1,1
KAT2B,FBgn0020388,Gcn5,FBbt:00058222,sugar-sensing neuron of the adult brain,0.227273,117.698222,1,2
KAT2B,FBgn0020388,Gcn5,FBbt:00110107,adult insulin secreting cell of pars intercerebralis,0.2,358.125109,1,3
KAT2B,FBgn0020388,Gcn5,FBbt:00110925,Hugin neuron,0.176471,145.091109,1,4
KAT2B,FBgn0020388,Gcn5,FBbt:00048298,CCHamide-1 neuron,0.15,129.558535,1,5
AMT,FBgn0032287,Gcst,FBbt:00058267,adult pericerebral fat cell,0.225225,931.630463,7,1
AMT,FBgn0032287,Gcst,FBbt:00049949,adult fat cell,0.222222,858.0158,3,2
AMT,FBgn0032287,Gcst,FBbt:00058244,adult sensory neuron,0.15,384.753038,6,3
AMT,FBgn0032287,Gcst,FBbt:00003826,transmedullary Y neuron TmY8,0.090909,904.75715,4,4
AMT,FBgn0032287,Gcst,FBbt:00058203,adult octopaminergic neuron,0.076923,108.06136,3,5
HYI,FBgn0011770,Gip,FBbt:00058251,adult perineurial glial cell,0.21267,1119.44065,7,1
HYI,FBgn0011770,Gip,FBbt:00004046,LNv neuron,0.2,140.732629,1,2
HYI,FBgn0011770,Gip,FBbt:00048313,ITP neuron,0.190476,24.507934,1,3
HYI,FBgn0011770,Gip,FBbt:00058144,adult plasmatocyte,0.169675,401.879235,1,4
HYI,FBgn0011770,Gip,FBbt:00048298,CCHamide-1 neuron,0.15,265.230493,1,5
GMPPB,FBgn0037279,Gmppb,FBbt:00048313,ITP neuron,0.428571,103.464583,1,1
GMPPB,FBgn0037279,Gmppb,FBbt:00100248,alpha/beta Kenyon cell,0.252101,1390.363715,8,2
GMPPB,FBgn0037279,Gmppb,FBbt:00058244,adult sensory neuron,0.25,952.764025,9,3
GMPPB,FBgn0037279,Gmppb,FBbt:00111316,adult CCAP neuron,0.25,381.700805,1,4
GMPPB,FBgn0037279,Gmppb,FBbt:00057009,head cyst cell,0.220013,185.220177,4,5
GPX1,FBgn0034415,Gpxl,FBbt:00004211,photoreceptor neuron,0.076923,558.9715,4,1
